,brexit_constituency,area_code,region,region_code,eu_contribution_gbp,project_eu_contribution_gbp,project_total_cost_gbp,spending_per_voter,electorate,votes_cast,valid_votes,pct_turnout,remain,leave,pct_remain,pct_leave,rejected_ballots,pct_rejected,spending_percentile
195,Malvern Hills,E07000235,West Midlands,E12000005,4756180.0,77337442.0,95565529.0,1284.3124366873144,60217,48538,48497,80.61,23203,25294,47.84,52.16,41,0.08,73.11557788944724
196,Manchester,E08000003,North West,E12000002,387458702.0,2873216587.61,4011565863.68,8499.031507673104,338064,202067,201814,59.77,121823,79991,60.36,39.64,253,0.13,95.7286432160804
197,Mansfield,E07000174,East Midlands,E12000004,32156.0,2688480.0,1167188.0,34.63464907760486,77624,56370,56344,72.62,16417,39927,29.14,70.86,26,0.05,4.0201005025125625
198,Medway,E06000035,South East,E12000008,3967409.0,23789541.0,25520404.0,123.56662545968297,192524,138973,138886,72.18,49889,88997,35.92,64.08,87,0.06,18.844221105527637
199,Melton,E07000133,East Midlands,E12000004,16348607.0,138670851.0,194242559.99,3720.4102433396833,37273,30327,30305,81.36,12695,17610,41.89,58.11,22,0.07,87.93969849246231
200,Mendip,E07000187,South West,E12000009,477326.0,5805869.0,8069324.0,68.2497413833639,85068,65509,65455,77.01,33427,32028,51.07,48.93,54,0.08,9.296482412060302
201,Merthyr Tydfil,W06000024,Wales,W92000004,159677.0,3924816.67,2388609.44,91.58363481507408,42855,28881,28865,67.39,12574,16291,43.56,56.44,16,0.06,14.07035175879397
202,Merton,E09000024,London,E12000007,82119.0,6870285.0,3549235.0,50.3863896385825,136352,100207,100100,73.49,63003,37097,62.94,37.06,107,0.11,6.532663316582915
203,Mid Devon,E07000042,South West,E12000009,248428.0,3712315.0,3685025.0,61.32814048767593,60532,48049,48006,79.38,22400,25606,46.66,53.34,43,0.09,8.542713567839195
204,Mid Suffolk,E07000203,East,E12000006,886274.0,11136499.0,16829253.0,142.1831982125758,78325,61222,61185,78.16,27391,33794,44.77,55.23,37,0.06,20.85427135678392
205,Mid Sussex,E07000228,South East,E12000008,874518.0,36181047.0,53578099.0,333.7242381198347,108416,87588,87528,80.79,46471,41057,53.09,46.91,60,0.07,42.462311557788944
206,Mid Ulster,N06000010,Northern Ireland,N92000002,14627790.7,34870948.03,49416200.95,505.91129789487434,68927,42431,42411,61.56,25612,16799,60.39,39.61,20,0.05,53.015075376884425
207,Middlesbrough,E06000002,North East,E12000001,10714856.0,70454180.00999999,91670757.34,744.6643133006382,94612,61393,61358,64.89,21181,40177,34.52,65.48,35,0.06,62.814070351758794
208,Midlothian,S12000019,Scotland,S92000003,15195411.0,162004415.0,218184975.0,2426.7415890230386,66758,45497,45468,68.15,28217,17251,62.06,37.94,29,0.06,83.91959798994975
209,Milton Keynes,E06000042,South East,E12000008,44060940.0,416978682.47,508041805.83,2353.006768597886,177211,130534,130456,73.66,63393,67063,48.59,51.41,78,0.06,83.41708542713567
210,Mole Valley,E07000210,South East,E12000008,4388792.0,45421339.0,62874638.0,680.6734452270342,66730,54829,54796,82.17,29088,25708,53.08,46.92,33,0.06,60.301507537688444
211,Monmouthshire,W06000021,Wales,W92000004,4387983.0,43566764.0,54813731.0,608.4148756406497,71607,55670,55630,77.74,28061,27569,50.44,49.56,40,0.07,57.78894472361809
212,Moray,S12000020,Scotland,S92000003,3801343.92,14056660.92,17067149.85,196.95475577973937,71370,48139,48106,67.45,24114,23992,50.13,49.87,33,0.07,27.63819095477387
213,Na h-Eileanan Siar,S12000013,Scotland,S92000003,16104223.0,18969846.0,34495387.0,892.3207112281857,21259,14919,14903,70.18,8232,6671,55.24,44.76,16,0.11,67.8391959798995
